,Date,Nationality,Visitor_Index,Seat_Index,Outbound_Index,Stock index value,Temperature Difference,Oil Price,Exchange Rate to USD,Google Searches,Flight Prices,Trade Flows,Visa Policy,Vacation Days
2100,2017-07-01,China,220.86816758267966,137.03067241954824,155.27364514954482,3273.03,6.0,47.66,0.14767,24.6,597.3649817,45634.0,1.0,31.0
2101,2017-08-01,China,236.31544905467285,139.1237158010558,155.27364514954482,3360.81,6.0,49.94,0.149808,20.75,656.4228423,41409.0,1.0,30.0
2102,2017-09-01,China,216.1707896401162,135.27266433419462,155.27364514954482,3348.94,8.0,52.95,0.152346,33.25,754.6622062000001,28635.0,1.0,0.0
2103,2017-10-01,China,250.93164817330762,139.46616885284408,155.27364514954482,3393.34,15.0,54.92,0.150866,39.6,674.1851257000001,38185.0,1.0,9.0
2104,2017-11-01,China,268.47198215991057,137.79470124989183,155.27364514954482,3317.19,19.0,59.93,0.150971,31.75,607.8592651,40210.0,1.0,0.0
2105,2017-12-01,China,287.23793569022683,141.0560411438179,155.27364514954482,3307.17,23.0,61.19,0.15166,43.6,580.1770427,54685.10016,1.0,15.0
2106,2018-01-01,China,338.31171416083794,162.78388368959162,163.62212761342315,3480.83,25.0,66.23,0.159116,64.0,619.919317603055,20580.0,1.0,2.0
2107,2018-02-01,China,445.2846158353728,138.51793242424617,163.62212761342315,3259.41,22.0,63.46,0.15799000000000002,67.5,794.3945795630107,33742.0,1.0,16.0
2108,2018-03-01,China,324.85884054617964,148.3291505433506,163.62212761342315,3168.9,,64.17,0.15799000000000002,52.5,606.0701884445892,,1.0,0.0
2109,2018-04-01,China,289.92239823979924,,,,,,,,,,,
2110,2018-05-01,China,303.24863027673945,,,,,,,,,,,
2111,2018-06-01,China,206.300026336894,,,,,,,,,,,
2112,2013-01-01,Czech Republic,100.0,100.0,100.0,1021.44,23.0,105.1,0.052053999999999996,39.0,,1683.7224800000001,0.0,4.0
2113,2013-02-01,Czech Republic,124.61426491994179,101.48218227688427,100.0,1014.57,24.0,107.64,0.052525999999999996,85.0,,1667.60397,0.0,1.0
2114,2013-03-01,Czech Republic,133.54537944057594,111.74708293913591,100.0,962.86,25.0,102.52,0.050571,22.0,,1649.4097199999999,0.0,2.0
2115,2013-04-01,Czech Republic,121.05747669066444,108.32544938505205,100.0,968.02,19.0,98.85,0.050427,21.1,,1774.6622399999999,0.0,1.0
2116,2013-05-01,Czech Republic,74.86407805185098,106.07064017660043,100.0,957.86,18.0,99.37,0.050155,17.1,,1372.58686,0.0,2.0
2117,2013-06-01,Czech Republic,43.26960147920846,95.41942604856511,100.0,878.27,16.0,99.74,0.051149,26.0,,1646.1190900000001,0.0,0.0
2118,2013-07-01,Czech Republic,40.907588811518934,106.07064017660043,100.0,919.41,15.0,105.26,0.050436,40.0,,1328.0124,0.0,31.0
2119,2013-08-01,Czech Republic,40.54329438608914,103.92620624408704,100.0,945.21,16.0,108.16,0.051627,24.1,,1023.4059,0.0,31.0
2120,2013-09-01,Czech Republic,54.20630237224123,102.91706086408071,100.0,957.62,22.0,108.76,0.051807000000000006,23.0,,1876.19488,0.0,1.0
2121,2013-10-01,Czech Republic,106.55100515362524,112.55124566382842,100.0,1015.12,21.0,105.43,0.053163999999999996,33.0,,1702.05705,0.0,3.0
2122,2013-11-01,Czech Republic,104.66973523742081,107.96278776411228,100.0,1032.26,24.0,102.63,0.050214999999999996,21.0,,1804.68875,0.0,1.0
2123,2013-12-01,Czech Republic,97.49360714426216,112.68527278461052,100.0,989.04,22.0,105.48,0.049811,49.1,,456.3432,0.0,12.0
2124,2014-01-01,Czech Republic,70.13415161886778,112.81929990539258,101.06587871014851,990.61,20.0,102.1,0.049597,27.0,,2198.6955,0.0,4.0
2125,2014-02-01,Czech Republic,96.93418309138832,107.72626931567328,101.06587871014851,1015.11,18.0,104.83,0.04972,76.0,,1578.04532,0.0,1.0
2126,2014-03-01,Czech Republic,113.29477949565285,117.81772311573636,101.06587871014851,1006.45,17.0,104.04,0.050483999999999994,36.2,,2407.41368,0.0,2.0
2127,2014-04-01,Czech Republic,119.54050119988985,114.76663513087357,101.06587871014851,1010.31,17.0,104.87,0.050306000000000003,31.0,,1933.4037600000001,1.0,1.0
2128,2014-05-01,Czech Republic,91.93359298162792,97.760958688111,101.06587871014851,1027.22,20.0,105.71,0.050071,23.0,,1628.6152,1.0,2.0
2129,2014-06-01,Czech Republic,47.461347810692786,94.6073793755913,101.06587871014851,1009.24,16.0,108.37,0.049538,28.0,,1830.70648,1.0,0.0
2130,2014-07-01,Czech Republic,53.1256146976671,97.760958688111,101.06587871014851,956.72,14.0,105.23,0.049339999999999995,26.0,,1708.4864100000002,1.0,31.0
2131,2014-08-01,Czech Republic,64.95102088988551,97.760958688111,101.06587871014851,980.01,18.0,100.05,0.047893,32.1,,939.71012,1.0,31.0
2132,2014-09-01,Czech Republic,79.31389905189032,106.52790917691578,101.06587871014851,991.4,19.0,95.85,0.046761000000000004,31.0,,2259.8681699999997,1.0,1.0
2133,2014-10-01,Czech Republic,137.90235650497658,130.5424156417534,101.06587871014851,981.43,22.0,86.08,0.045972000000000006,42.0,,1853.5529800000002,1.0,3.0
2134,2014-11-01,Czech Republic,163.18383886069478,128.87890255439925,101.06587871014851,1007.17,21.0,76.99,0.04506,34.0,,1582.44736,1.0,1.0
2135,2014-12-01,Czech Republic,177.43066210315118,154.0996531062756,101.06587871014851,946.71,22.0,60.7,0.044547,62.0,,863.78655,1.0,12.0
2136,2015-01-01,Czech Republic,139.43506825602896,150.43361715547144,112.57143785839027,955.78,21.0,47.11,0.041775,48.0,,1378.2506,1.0,4.0
2137,2015-02-01,Czech Republic,188.7312640151068,138.4421318196153,112.57143785839027,1022.75,24.0,54.79,0.041113,62.1,,1427.6029999999998,1.0,1.0
2138,2015-03-01,Czech Republic,217.15881820685314,155.2349416587827,112.57143785839027,1033.66,20.0,52.83,0.039550999999999996,29.0,,1569.0172599999999,1.0,2.0
2139,2015-04-01,Czech Republic,179.9114835359377,155.17975402081362,112.57143785839027,1026.01,20.0,57.54,0.039356999999999996,28.0,,1738.4371199999998,1.0,1.0
2140,2015-05-01,Czech Republic,128.76863763326642,135.8640807316304,112.57143785839027,1021.81,20.0,62.51,0.040731,33.0,,1064.379,1.0,1.0
2141,2015-06-01,Czech Republic,73.88292222353357,117.92809839167455,112.57143785839027,981.47,18.0,61.31,0.041054,29.0,,1537.75082,1.0,0.0
2142,2015-07-01,Czech Republic,76.81458751327747,123.15515610217598,112.57143785839027,1031.47,15.0,54.34,0.040607,44.3,,1413.97564,1.0,31.0
